year,indicator_code,value,indicator_name
2024,IT.NET.USER.ZS,72.78075544,internet_users_pct
2023,IT.NET.USER.ZS,69.20836554,internet_users_pct
2022,IT.NET.USER.ZS,66.48461277,internet_users_pct
2021,IT.NET.USER.ZS,62.10447842,internet_users_pct
2020,IT.NET.USER.ZS,53.72649449,internet_users_pct
2019,IT.NET.USER.ZS,47.6906489788375,internet_users_pct
2018,IT.NET.USER.ZS,39.9046386385762,internet_users_pct
2017,IT.NET.USER.ZS,32.335806250688,internet_users_pct
2016,IT.NET.USER.ZS,25.447353701827,internet_users_pct
2015,IT.NET.USER.ZS,22.062742603379,internet_users_pct
2014,IT.NET.USER.ZS,17.1431598350566,internet_users_pct
2013,IT.NET.USER.ZS,14.94,internet_users_pct
2012,IT.NET.USER.ZS,14.52,internet_users_pct
2011,IT.NET.USER.ZS,12.28,internet_users_pct
2010,IT.NET.USER.ZS,10.92,internet_users_pct
2009,IT.NET.USER.ZS,6.92,internet_users_pct
2008,IT.NET.USER.ZS,7.917500019,internet_users_pct
2007,IT.NET.USER.ZS,5.78627472934199,internet_users_pct
2006,IT.NET.USER.ZS,4.76481313366657,internet_users_pct
2005,IT.NET.USER.ZS,3.60202476259646,internet_users_pct
2004,IT.NET.USER.ZS,2.60028587633414,internet_users_pct
2003,IT.NET.USER.ZS,2.38701977959476,internet_users_pct
2002,IT.NET.USER.ZS,2.13413573295808,internet_users_pct
2001,IT.NET.USER.ZS,2.01861385948459,internet_users_pct
2000,IT.NET.USER.ZS,0.925563864466858,internet_users_pct
1999,IT.NET.USER.ZS,0.444,internet_users_pct
1998,IT.NET.USER.ZS,0.255,internet_users_pct
1997,IT.NET.USER.ZS,0.195,internet_users_pct
1996,IT.NET.USER.ZS,0.0566,internet_users_pct
1995,IT.NET.USER.ZS,0.0261,internet_users_pct
1994,IT.NET.USER.ZS,0.00106,internet_users_pct
1990,IT.NET.USER.ZS,0.0,internet_users_pct
2024,IT.CEL.SETS.P2,122.514946500491,mobile_subscriptions_per_100
2023,IT.CEL.SETS.P2,125.238194847046,mobile_subscriptions_per_100
2022,IT.CEL.SETS.P2,122.873012230307,mobile_subscriptions_per_100
2021,IT.CEL.SETS.P2,132.199444256099,mobile_subscriptions_per_100
2020,IT.CEL.SETS.P2,129.40362112725,mobile_subscriptions_per_100
2019,IT.CEL.SETS.P2,125.244348145809,mobile_subscriptions_per_100
2018,IT.CEL.SETS.P2,118.330216938024,mobile_subscriptions_per_100
2017,IT.CEL.SETS.P2,162.782511760443,mobile_subscriptions_per_100
2016,IT.CEL.SETS.P2,145.704251250337,mobile_subscriptions_per_100
2015,IT.CEL.SETS.P2,129.468797674053,mobile_subscriptions_per_100
2014,IT.CEL.SETS.P2,125.767185647597,mobile_subscriptions_per_100
2013,IT.CEL.SETS.P2,122.424816798816,mobile_subscriptions_per_100
2012,IT.CEL.SETS.P2,111.581048999,mobile_subscriptions_per_100
2011,IT.CEL.SETS.P2,100.134519965107,mobile_subscriptions_per_100
2010,IT.CEL.SETS.P2,85.7838690956097,mobile_subscriptions_per_100
2009,IT.CEL.SETS.P2,67.2958400448831,mobile_subscriptions_per_100
2008,IT.CEL.SETS.P2,58.5357555358068,mobile_subscriptions_per_100
2007,IT.CEL.SETS.P2,39.3933857996178,mobile_subscriptions_per_100
2006,IT.CEL.SETS.P2,27.2718805165778,mobile_subscriptions_per_100
2005,IT.CEL.SETS.P2,20.3186367836848,mobile_subscriptions_per_100
2004,IT.CEL.SETS.P2,13.3098113507561,mobile_subscriptions_per_100
2003,IT.CEL.SETS.P2,8.21835801363769,mobile_subscriptions_per_100
2002,IT.CEL.SETS.P2,5.26817023997574,mobile_subscriptions_per_100
2001,IT.CEL.SETS.P2,2.97627085447856,mobile_subscriptions_per_100
2000,IT.CEL.SETS.P2,1.69815092981097,mobile_subscriptions_per_100
1999,IT.CEL.SETS.P2,1.052607358,mobile_subscriptions_per_100
1998,IT.CEL.SETS.P2,0.512769723,mobile_subscriptions_per_100
1997,IT.CEL.SETS.P2,0.447726102,mobile_subscriptions_per_100
1996,IT.CEL.SETS.P2,0.279339729,mobile_subscriptions_per_100
1995,IT.CEL.SETS.P2,0.106310098,mobile_subscriptions_per_100
1994,IT.CEL.SETS.P2,0.040026977,mobile_subscriptions_per_100
1993,IT.CEL.SETS.P2,0.027870427,mobile_subscriptions_per_100
1992,IT.CEL.SETS.P2,0.018851452,mobile_subscriptions_per_100
1991,IT.CEL.SETS.P2,0.013232541,mobile_subscriptions_per_100
1990,IT.CEL.SETS.P2,0.009934131,mobile_subscriptions_per_100
1989,IT.CEL.SETS.P2,0.007224398,mobile_subscriptions_per_100
1988,IT.CEL.SETS.P2,0.005127077,mobile_subscriptions_per_100
1987,IT.CEL.SETS.P2,0.003666018,mobile_subscriptions_per_100
1986,IT.CEL.SETS.P2,0.002678921,mobile_subscriptions_per_100
1985,IT.CEL.SETS.P2,0.001223825,mobile_subscriptions_per_100
1984,IT.CEL.SETS.P2,0.001078038,mobile_subscriptions_per_100
